state,act_free,act_part_rate,act_part_pct_change,composite_score,composite_score_pct_change,sat_free,sat_part_rate,sat_part_pct_change,ebrw_score,math_score,total_score,total_score_pct_change
Alabama,1,1.0,0.7082785808147175,18.9,-0.11888111888111863,0,0.07,-0.8573141486810552,583,560,1143,0.026881815139077347
Alaska,0,0.38,-0.3508541392904074,20.1,-0.06293706293706253,0,0.41,-0.16426858513189435,556,541,1097,-0.014445012066869774
Arizona,0,0.73,0.24704336399474372,19.0,-0.11421911421911389,0,0.31,-0.36810551558752985,569,565,1134,0.018796131555305084
Arkansas,1,1.0,0.7082785808147175,19.3,-0.10023310023309988,0,0.06,-0.8776978417266187,582,559,1141,0.02508499656490573
California,0,0.23,-0.607095926412615,22.6,0.05361305361305407,0,0.63,0.2841726618705039,534,531,1065,-0.043194109253615595
Colorado,1,0.27,-0.5387647831800263,23.8,0.10955710955711,1,1.0,1.0383693045563553,518,506,1024,-0.08002889002413369
Connecticut,0,0.22,-0.6241787122207622,25.5,0.18881118881118925,1,1.0,1.0383693045563553,529,516,1046,-0.06026388570824593
Delaware,0,0.13,-0.7779237844940867,24.1,0.12354312354312402,1,1.0,1.0383693045563553,499,486,985,-0.11506685222048015
District of Columbia,0,0.32,-0.4533508541392904,23.5,0.09557109557109597,1,0.94,0.9160671462829739,495,480,975,-0.12405094509133822
Florida,0,0.54,-0.07752956636005251,20.1,-0.06293706293706253,0,1.0,1.0383693045563553,516,483,999,-0.10248912220127886
Georgia,0,0.49,-0.16294349540078845,21.4,-0.002331002331002034,0,0.71,0.4472422062350122,538,519,1058,-0.049482974263216246
Hawaii,1,0.8,0.366622864651774,19.0,-0.11421911421911389,0,0.54,0.10071942446043194,550,550,1100,-0.011749784205612353
Idaho,0,0.31,-0.4704336399474376,22.5,0.048951048951049334,1,1.0,1.0383693045563553,505,488,993,-0.1078795779237937
Illinois,0,0.35,-0.40210249671484893,24.3,0.1328671328671333,1,1.0,1.0383693045563553,509,504,1013,-0.08991139218207755
Indiana,0,0.29,-0.504599211563732,22.5,0.048951048951049334,0,0.66,0.3453237410071946,543,537,1080,-0.02971796994732849
Iowa,0,0.66,0.12746386333771356,21.6,0.006993006993007426,0,0.03,-0.9388489208633093,622,622,1244,0.11762115313474385
Kansas,0,0.72,0.22996057818659651,21.2,-0.011655011655011328,0,0.04,-0.9184652278177459,618,623,1241,0.11492592527348643
Kentucky,1,1.0,0.7082785808147175,19.8,-0.07692307692307655,0,0.04,-0.9184652278177459,620,612,1232,0.10684024168971416
Louisiana,1,1.0,0.7082785808147175,18.8,-0.12354312354312319,0,0.05,-0.8980815347721822,610,591,1200,0.07809114450296835
Maine,0,0.06,-0.8975032851511169,24.3,0.1328671328671333,1,0.99,1.0179856115107917,512,502,1013,-0.08991139218207755
Maryland,0,0.28,-0.521681997371879,22.3,0.03962703962704004,0,0.82,0.6714628297362113,535,523,1058,-0.049482974263216246
Massachusetts,0,0.21,-0.6412614980289094,25.5,0.18881118881118925,0,0.81,0.6510791366906479,559,561,1120,0.0062184015361037865
Michigan,0,0.19,-0.6754270696452037,24.4,0.13752913752913787,1,1.0,1.0383693045563553,507,496,1003,-0.09889548505293563
Minnesota,0,0.95,0.6228646517739815,21.4,-0.002331002331002034,0,0.04,-0.9184652278177459,636,648,1284,0.15355752461817612
Mississippi,1,1.0,0.7082785808147175,18.4,-0.14219114219114196,0,0.03,-0.9388489208633093,628,608,1237,0.1113322881251432
Missouri,1,0.82,0.4007884362680682,20.8,-0.030303030303029915,0,0.04,-0.9184652278177459,622,615,1236,0.11043387883805739
Montana,1,1.0,0.7082785808147175,19.8,-0.07692307692307655,0,0.09,-0.8165467625899281,603,596,1199,0.07719273521588253
Nebraska,0,1.0,0.7082785808147175,20.0,-0.06759906759906725,0,0.03,-0.9388489208633093,628,631,1260,0.13199570172811675
Nevada,1,1.0,0.7082785808147175,17.9,-0.16550116550116525,0,0.2,-0.5923261390887289,580,576,1156,0.038561135871192836
New Hampshire,0,0.14,-0.7608409986859396,25.0,0.16550116550116592,1,0.95,0.9364508393285375,533,526,1059,-0.04858456497613044
New Jersey,0,0.25,-0.5729303547963206,24.2,0.12820512820512858,0,0.82,0.6714628297362113,544,545,1090,-0.02073387707647042
New Mexico,0,0.63,0.076215505913272,19.3,-0.10023310023309988,0,0.18,-0.6330935251798561,543,530,1073,-0.03600683495692914
New York,0,0.22,-0.6241787122207622,24.5,0.1421911421911426,1,0.79,0.6103117505995208,531,533,1064,-0.044092518540701404
North Carolina,1,1.0,0.7082785808147175,19.0,-0.11421911421911389,0,0.51,0.03956834532374124,554,546,1100,-0.011749784205612353
North Dakota,0,0.96,0.6399474375821287,19.9,-0.07226107226107199,0,0.02,-0.9592326139088728,627,636,1263,0.13469092958937418
Ohio,0,1.0,0.7082785808147175,20.0,-0.06759906759906725,0,0.19,-0.6127098321342925,550,548,1097,-0.014445012066869774
Oklahoma,1,1.0,0.7082785808147175,18.9,-0.11888111888111863,0,0.22,-0.5515587529976019,490,472,963,-0.1348318565363679
Oregon,0,0.42,-0.2825229960578187,21.1,-0.016317016317015893,0,0.51,0.03956834532374124,562,550,1112,-0.0009688727605826689
Pennsylvania,0,0.17,-0.709592641261498,23.6,0.1002331002331007,0,0.7,0.4268585131894486,545,537,1082,-0.02792115137315688
Rhode Island,0,0.12,-0.7950065703022339,24.7,0.1515151515151519,1,1.0,1.0383693045563553,503,492,995,-0.10608275934962208
South Carolina,0,0.78,0.33245729303547966,18.8,-0.12354312354312319,0,0.68,0.3860911270983217,526,504,1030,-0.07463843430161884
South Dakota,0,0.75,0.2812089356110381,21.6,0.006993006993007426,0,0.03,-0.9388489208633093,633,635,1268,0.13918297602480323
Tennessee,0,1.0,0.7082785808147175,19.4,-0.0955710955710953,0,0.07,-0.8573141486810552,618,602,1220,0.09605933024468448
Texas,0,0.39,-0.33377135348226017,20.5,-0.04428904428904394,0,0.68,0.3860911270983217,515,507,1022,-0.08182570859830529
Utah,1,1.0,0.7082785808147175,20.3,-0.053613053613053234,0,0.04,-0.9184652278177459,614,615,1230,0.10504342311554254
Vermont,0,0.2,-0.6583442838370565,24.1,0.12354312354312402,0,0.66,0.3453237410071946,560,546,1106,-0.006359328483097511
Virginia,0,0.21,-0.6412614980289094,24.0,0.11888111888111928,0,0.68,0.3860911270983217,567,551,1119,0.00531999224901798
Washington,0,0.24,-0.5900131406044679,22.1,0.030303030303030744,0,0.7,0.4268585131894486,539,535,1074,-0.03510842566984333
West Virginia,0,0.49,-0.16294349540078845,20.8,-0.030303030303029915,0,0.99,1.0179856115107917,483,460,943,-0.15280004227808405
Wisconsin,1,1.0,0.7082785808147175,20.3,-0.053613053613053234,0,0.03,-0.9388489208633093,635,648,1283,0.15265911533109033
Wyoming,1,1.0,0.7082785808147175,19.8,-0.07692307692307655,0,0.03,-0.9388489208633093,623,615,1238,0.112230697412229
