state,act17_part_rate,act17_com_score,act18_part_rate,act18_com_score,act_free,act19_part_rate,act19_com_score,act19_part_pct_change,act19_score__pct_change,sat_free,sat19_part_rate,sat19_total_score,sat19_part_pct_change,sat19_score_pct_change
Alabama,1.0,19.2,1.0,19.1,1,1.0,18.9,0.7082785808147175,-0.11888111888111863,0,0.07,1143,-0.8573141486810552,0.026881815139077347
Alaska,0.65,19.8,0.33,20.8,0,0.38,20.1,-0.3508541392904074,-0.06293706293706253,0,0.41,1097,-0.16426858513189435,-0.014445012066869774
Arizona,0.62,19.7,0.66,19.2,0,0.73,19.0,0.24704336399474372,-0.11421911421911389,0,0.31,1134,-0.36810551558752985,0.018796131555305084
Arkansas,1.0,19.4,1.0,19.4,1,1.0,19.3,0.7082785808147175,-0.10023310023309988,0,0.06,1141,-0.8776978417266187,0.02508499656490573
California,0.31,22.8,0.27,22.7,0,0.23,22.6,-0.607095926412615,0.05361305361305407,0,0.63,1065,0.2841726618705039,-0.043194109253615595
Colorado,1.0,20.8,0.3,23.9,1,0.27,23.8,-0.5387647831800263,0.10955710955711,1,1.0,1024,1.0383693045563553,-0.08002889002413369
Connecticut,0.31,25.2,0.26,25.6,0,0.22,25.5,-0.6241787122207622,0.18881118881118925,1,1.0,1046,1.0383693045563553,-0.06026388570824593
Delaware,0.18,24.1,0.17,23.8,0,0.13,24.1,-0.7779237844940867,0.12354312354312402,1,1.0,985,1.0383693045563553,-0.11506685222048015
District of Columbia,0.32,24.2,0.32,23.6,0,0.32,23.5,-0.4533508541392904,0.09557109557109597,1,0.94,975,0.9160671462829739,-0.12405094509133822
Florida,0.73,19.8,0.66,19.9,0,0.54,20.1,-0.07752956636005251,-0.06293706293706253,0,1.0,999,1.0383693045563553,-0.10248912220127886
Georgia,0.55,21.4,0.53,21.4,0,0.49,21.4,-0.16294349540078845,-0.002331002331002034,0,0.71,1058,0.4472422062350122,-0.049482974263216246
Hawaii,0.9,19.0,0.89,18.9,1,0.8,19.0,0.366622864651774,-0.11421911421911389,0,0.54,1100,0.10071942446043194,-0.011749784205612353
Idaho,0.38,22.3,0.36,22.3,0,0.31,22.5,-0.4704336399474376,0.048951048951049334,1,1.0,993,1.0383693045563553,-0.1078795779237937
Illinois,0.93,21.4,0.43,23.9,0,0.35,24.3,-0.40210249671484893,0.1328671328671333,1,1.0,1013,1.0383693045563553,-0.08991139218207755
Indiana,0.35,22.6,0.32,22.5,0,0.29,22.5,-0.504599211563732,0.048951048951049334,0,0.66,1080,0.3453237410071946,-0.02971796994732849
Iowa,0.67,21.9,0.68,21.8,0,0.66,21.6,0.12746386333771356,0.006993006993007426,0,0.03,1244,-0.9388489208633093,0.11762115313474385
Kansas,0.73,21.7,0.71,21.6,0,0.72,21.2,0.22996057818659651,-0.011655011655011328,0,0.04,1241,-0.9184652278177459,0.11492592527348643
Kentucky,1.0,20.0,1.0,20.2,1,1.0,19.8,0.7082785808147175,-0.07692307692307655,0,0.04,1232,-0.9184652278177459,0.10684024168971416
Louisiana,1.0,19.5,1.0,19.2,1,1.0,18.8,0.7082785808147175,-0.12354312354312319,0,0.05,1200,-0.8980815347721822,0.07809114450296835
Maine,0.08,24.3,0.07,24.0,0,0.06,24.3,-0.8975032851511169,0.1328671328671333,1,0.99,1013,1.0179856115107917,-0.08991139218207755
Maryland,0.28,23.6,0.31,22.5,0,0.28,22.3,-0.521681997371879,0.03962703962704004,0,0.82,1058,0.6714628297362113,-0.049482974263216246
Massachusetts,0.29,25.4,0.25,25.5,0,0.21,25.5,-0.6412614980289094,0.18881118881118925,0,0.81,1120,0.6510791366906479,0.0062184015361037865
Michigan,0.29,24.1,0.22,24.2,0,0.19,24.4,-0.6754270696452037,0.13752913752913787,1,1.0,1003,1.0383693045563553,-0.09889548505293563
