neighborhood,overallqual,grlivarea,garagearea,garagefinish,num_flrs,saleprice
25,6,1479,475.0,2,2,130500
10,7,2122,559.0,2,2,220000
21,5,1057,246.0,3,1,109000
2,5,1444,400.0,1,2,174000
10,6,1445,484.0,3,1,138500
21,6,1888,578.0,1,1,190000
23,6,1072,525.0,1,1,140000
21,5,1188,531.0,2,1,142000
18,5,924,420.0,3,1,112500
21,5,2080,504.0,3,2,135000
26,6,987,264.0,3,2,85400
16,7,1208,632.0,2,1,183600
10,5,2016,576.0,3,2,131000
8,8,1607,480.0,3,2,200000
16,7,1361,610.0,2,1,193000
27,5,1430,624.0,2,1,173500
18,5,1344,513.0,3,2,98000
25,5,1121,480.0,3,1,139000
25,6,1285,528.0,2,1,143500
8,7,1547,614.0,3,2,215200
25,5,894,450.0,1,1,129000
3,8,1659,499.0,1,1,278000
5,8,2253,575.0,1,2,344133
15,6,1187,420.0,1,1,185000
15,5,1056,572.0,1,1,145000
21,6,1453,530.0,2,1,187500
25,5,894,336.0,3,1,138500
4,5,1938,240.0,3,1,198000
21,5,924,576.0,3,1,122900
11,8,2524,542.0,1,1,278000
4,8,1517,400.0,3,2,230000
1,8,1494,481.0,1,1,270000
21,6,948,410.0,3,1,125000
16,8,1718,826.0,2,1,297000
21,6,1142,384.0,2,1,113500
28,5,1475,336.0,2,2,127000
11,6,1844,546.0,2,1,190000
11,7,1242,528.0,3,1,175500
16,5,990,384.0,3,1,146000
23,5,1256,276.0,1,1,147500
5,10,2076,850.0,1,1,465000
27,5,1110,602.0,1,1,165500
18,5,1795,352.0,3,1,131500
25,5,1040,384.0,3,1,129500
4,8,1873,786.0,1,2,257076
23,5,1604,660.0,3,1,117000
4,7,1502,270.0,2,2,149000
21,5,1063,280.0,2,1,128000
5,7,1626,474.0,2,2,155000
8,6,1524,440.0,3,2,166000
24,4,1981,576.0,3,1,135000
11,7,2784,564.0,2,2,250000
21,6,1575,400.0,3,1,155000
25,6,1352,299.0,1,2,158000
8,7,1200,480.0,2,2,149500
21,5,936,240.0,3,1,121000
21,6,1040,293.0,1,1,136000
15,6,1636,386.0,1,2,173000
6,8,2270,671.0,1,2,290000
8,8,2610,550.0,1,2,303477
19,7,1483,690.0,2,1,270000
18,5,1740,225.0,3,1,122250
21,5,1382,350.0,3,1,153000
4,7,1098,216.0,3,2,148500
23,7,1708,380.0,3,2,130000
5,9,1802,843.0,1,1,372000
13,7,1506,440.0,1,1,213490
23,7,1508,572.0,2,1,308030
27,7,2032,786.0,1,1,300000
21,6,1194,539.0,1,1,159500
23,7,1709,380.0,3,2,137500
8,7,1616,834.0,2,1,232000
22,6,768,440.0,3,1,93850
25,5,872,322.0,3,1,105000
17,4,520,240.0,3,1,68500
21,5,2274,480.0,3,2,154300
18,5,1232,480.0,3,2,114000
3,9,2234,1166.0,1,1,501837
18,5,1416,720.0,3,1,153900
21,4,864,576.0,3,1,130000
27,6,1189,392.0,2,1,160500
5,9,1666,575.0,2,1,310090
10,7,1200,555.0,2,1,184900
21,5,928,252.0,3,1,132000
11,5,1336,502.0,2,1,163000
8,7,1200,480.0,2,2,155000
11,6,1427,516.0,2,1,183000
16,7,1992,608.0,2,2,211000
10,7,1540,495.0,2,2,184000
10,5,1535,400.0,3,1,118858
21,5,1152,484.0,2,1,180500
8,8,1151,484.0,1,1,166000
25,6,1138,480.0,2,1,148000
21,5,1074,396.0,3,1,124000
5,9,1561,556.0,1,1,277500
6,8,2726,725.0,2,2,350000
3,9,1884,670.0,1,1,387000
1,8,1671,550.0,2,1,290000
27,6,1961,560.0,1,2,215000
11,5,1193,501.0,1,1,146500
8,7,1382,490.0,3,2,165000
18,6,2526,216.0,3,1,136000
21,6,1390,550.0,3,1,252000
5,7,1626,474.0,2,2,175500
18,5,1558,400.0,3,2,150000
21,5,1422,286.0,2,1,139900
17,5,1573,360.0,3,1,162900
21,6,1116,440.0,3,1,160000
11,6,1707,479.0,1,1,184000
23,5,1466,528.0,1,1,149900
8,9,1638,495.0,1,1,300000
19,5,1721,626.0,3,1,145000
16,6,1764,470.0,2,2,231500
21,5,1202,304.0,2,1,120000
25,5,988,572.0,3,1,128500
18,5,1028,360.0,3,1,115000
18,5,1284,240.0,3,1,110000
1,9,2944,864.0,2,2,150000
15,8,1414,403.0,1,2,178000
4,7,1609,579.0,3,2,199500
15,6,1525,400.0,1,2,183500
22,5,1656,288.0,3,1,126000
12,7,1055,440.0,3,1,148500
18,5,1352,720.0,3,2,149000
12,6,1456,440.0,3,2,137900
1,8,1719,473.0,1,1,324000
26,6,987,264.0,3,2,103400
5,8,1554,627.0,2,1,209500
3,10,3390,758.0,1,2,545224
15,4,864,400.0,3,1,141000
15,6,1889,431.0,1,2,215000
25,5,1040,260.0,3,1,127000
23,5,1172,366.0,1,1,128000
8,8,1418,852.0,2,1,267916
17,6,1367,560.0,3,1,127500
23,7,1922,672.0,2,1,198500
11,6,1422,576.0,1,1,175500
16,7,1842,486.0,1,2,217500
18,4,1962,572.0,3,1,149500
21,5,1120,656.0,2,1,148800
3,9,2868,716.0,1,2,556581
21,6,1478,442.0,2,1,156500
